1st Team,2nd Team,3rd Team
 Giannis Antetokounmpo , Jalen Brunson , Devin Booker 
 Luka Dončić , Anthony Davis , Stephen Curry 
 Shai Gilgeous-Alexander , Kevin Durant , Tyrese Haliburton 
 Nikola Jokić , Anthony Edwards , LeBron James 
 Jayson Tatum , Kawhi Leonard , Domantas Sabonis 
